Country,City,Latitude,Longitude
Afghanistan,Kabul,34.5253,69.1783
Afghanistan,Kandahar,31.62,65.7158
Afghanistan,Herat,34.3419,62.2031
Afghanistan,Farah,32.3436,62.1194
Afghanistan,Mazar-e Sharif,36.7,67.1167
Afghanistan,Lashkar Gah,31.5831,64.3692
Afghanistan,Kunduz,36.7286,68.8681
Afghanistan,Taluqan,36.7167,69.5167
Afghanistan,Jalalabad,34.4342,70.4478
Afghanistan,Shibirghan,36.665,65.752
Afghanistan,Zaranj,30.96,61.86
Afghanistan,Khost,33.3331,69.9169
Afghanistan,Maimanah,35.9333,64.75
Afghanistan,Mehtar Lam,34.6683,70.2089
Afghanistan,Ghazni,33.5492,68.4233
Afghanistan,Paghman,34.5833,68.95
Afghanistan,Pul-e Khumri,35.95,68.7
Afghanistan,Bamyan,34.825,67.8333
Afghanistan,Charikar,35.0131,69.1689
Afghanistan,Balkh,36.7581,66.8981
Afghanistan,Baghlan,36.1328,68.7
Afghanistan,Tarin Kot,32.6267,65.8733
Afghanistan,Gardez,33.6,69.2169
Afghanistan,Bazar-e Yakawlang,34.7333,66.9667
Afghanistan,Faizabad,37.1166,70.58
Afghanistan,Qal`ah-ye Now,34.9867,63.1292
Afghanistan,Ghoriyan,34.34,61.47
Afghanistan,Sar-e Pul,36.2214,65.9278
Afghanistan,Haskah Menah,34.1,70.4667
Afghanistan,Mahmud-e Raqi,35.0206,69.3306
Afghanistan,Aqchah,36.9114,66.1858
Afghanistan,Qalat,32.1061,66.9069
Afghanistan,Asadabad,34.8742,71.1528
Afghanistan,Gudarah,34.8169,69.0878
Afghanistan,Andkhoy,36.95,65.1167
Afghanistan,Kotah-ye `Ashro,34.4492,68.7939
Afghanistan,Maidan Shahr,34.3972,68.8697
Afghanistan,Bagrami,34.4911,69.2756
Afghanistan,Bala Koh,36.5753,66.8203
Afghanistan,Khulm,36.6833,67.6833
Afghanistan,Khanabad,36.6831,69.1636
Afghanistan,Hukumati Baghran,33.0669,65.0917
Afghanistan,Bazarak,35.3128,69.5158
Afghanistan,Sheghnan,37.6167,71.45
Afghanistan,Pul-e `Alam,33.9808,69.035
Afghanistan,Baraki Barak,33.9692,68.9447
Afghanistan,Sangin,32.0733,64.8339
Afghanistan,Qal`ah-ye Zal,37.015,68.4672
Afghanistan,Karukh,34.4922,62.5922
Afghanistan,Kushk,33.2956,61.9522
Algeria,Algiers,36.7539,3.0589
Algeria,Constantine,36.35,6.6
Algeria,Batna,35.55,6.1667
Algeria,Setif,36.19,5.41
Algeria,Djelfa,34.6667,3.25
Algeria,Annaba,36.9,7.7667
Algeria,Sidi Aissa,36.5,4.2978
Algeria,Sidi Bel Abbes,35.1939,-0.6414
Algeria,Biskra,34.85,5.7333
Algeria,Tebessa,35.4,8.1167
Algeria,Ouargla,31.95,5.3167
Algeria,El Khroub,36.2667,6.7
Algeria,Tiaret,35.3667,1.3167
Algeria,Bejaia,36.7511,5.0642
Algeria,Tlemcen,34.8828,-1.3167
Algeria,Bir el Djir,35.7367,-0.5542
Algeria,Bordj Bou Arreridj,36.0667,4.7667
Algeria,Bechar,31.6167,-2.2167
Algeria,Blida,36.4686,2.8319
Algeria,Skikda,36.8667,6.9
Algeria,Souk Ahras,36.2864,7.9511
Algeria,Chlef,36.1647,1.3317
